,ReactionID,Participation,Stiochiometry,MoleculeID
17646,R-HSA-8952873,Product,1,R-ALL-77308
17647,R-HSA-8952873,Product,1,R-ALL-113563
17648,R-HSA-8954398,Substrate,1,R-ALL-189422
17649,R-HSA-8954398,Substrate,1,R-ALL-8954419
17650,R-HSA-8954398,Product,1,R-ALL-8954401
17651,R-HSA-8954398,Product,1,R-ALL-1500590
17652,R-HSA-8957389,Substrate,1,R-ALL-8957387
17653,R-HSA-8957389,Product,1,R-ALL-8957386
17654,R-HSA-8957389,Product,1,R-ALL-113521
17655,R-HSA-8959462,Substrate,1,R-ALL-8959490
17656,R-HSA-8959462,Substrate,1,R-ALL-8959486
17657,R-HSA-8959462,Product,1,R-ALL-8959463
17658,R-HSA-8963851,Substrate,1,R-HSA-352339
17659,R-HSA-8963851,Product,1,R-HSA-209886
17660,R-HSA-8963851,Product,1,R-ALL-209767
17661,R-HSA-8963864,Substrate,1,R-HSA-8963847
17662,R-HSA-8963864,Product,1,R-HSA-350088
17663,R-HSA-8963864,Product,1,R-ALL-350136
17664,R-HSA-8963872,Substrate,1,R-ALL-8963870
17665,R-HSA-8963872,Product,1,R-ALL-209767
17666,R-HSA-8963913,Substrate,1,R-ALL-209800
17667,R-HSA-8963913,Product,1,R-ALL-8963912
17668,R-HSA-8963915,Substrate,1,R-HSA-375512
17669,R-HSA-8963915,Substrate,1,R-ALL-8963912
17670,R-HSA-8963915,Product,1,R-HSA-8963916
17671,R-HSA-9018858,Substrate,1,R-ALL-29368
17672,R-HSA-9018858,Substrate,1,R-ALL-9020474
17673,R-HSA-9018858,Product,1,R-ALL-9020602
17674,R-HSA-9018859,Substrate,1,R-ALL-29368
17675,R-HSA-9018859,Substrate,1,R-ALL-9020602
17676,R-HSA-9018859,Product,1,R-ALL-9022655
17677,R-HSA-9018862,Substrate,1,R-ALL-29356
17678,R-HSA-9018862,Substrate,1,R-ALL-9022655
17679,R-HSA-9018862,Product,1,R-ALL-9022660
17680,R-HSA-9018863,Substrate,1,R-ALL-9023651
17681,R-HSA-9018863,Substrate,1,R-ALL-29368
17682,R-HSA-9018863,Product,1,R-ALL-9023702
17683,R-HSA-9018867,Substrate,1,R-ALL-29364
17684,R-HSA-9018867,Substrate,1,R-ALL-9020602
17685,R-HSA-9018867,Product,1,R-ALL-29366
17686,R-HSA-9018867,Product,1,R-ALL-9022650
17687,R-HSA-9018868,Substrate,1,R-ALL-9020583
17688,R-HSA-9018868,Substrate,2,R-ALL-29450
17689,R-HSA-9018868,Product,1,R-ALL-29356
17690,R-HSA-9018868,Product,1,R-ALL-9020474
17691,R-HSA-9018868,Product,1,R-ALL-111745
17692,R-HSA-9018874,Substrate,1,R-ALL-2026977
17693,R-HSA-9018874,Substrate,1,R-ALL-70106
17694,R-HSA-9018874,Substrate,1,R-ALL-29368
17695,R-HSA-9018874,Substrate,1,R-ALL-29364
17696,R-HSA-9018874,Product,1,R-ALL-9020583
17697,R-HSA-9018874,Product,1,R-ALL-29366
17698,R-HSA-9018877,Substrate,1,R-ALL-29356
17699,R-HSA-9018877,Substrate,1,R-ALL-9023708
17700,R-HSA-9018877,Product,1,R-ALL-9023712
17701,R-HSA-9018880,Substrate,1,R-ALL-2026977
17702,R-HSA-9018880,Substrate,1,R-ALL-29368
17703,R-HSA-9018880,Product,1,R-ALL-9022921
17704,R-HSA-9018894,Substrate,1,R-ALL-9023702
